"Id";"Identificador";"Paquete";"Cantidad";"Identificación";"Suministrador y ref";
1;"220,R6,R10,R9,R7,R5";"R_0603_1608Metric";6;"220";;;
2;"SN2,SF1,SF2,SL2,SN1,SL1";"LED_0603_1608Metric";6;"LED";;;
3;"7805";"TO-220-3_Vertical";1;"LM7805_TO220";;;
4;"C2,C1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"470";;;
5;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"R";;;
6;"U2";"MODULE_ROB-14450";1;"TB6612FNG";;;
7;"SW2";"SW_SPDT_CK-JS102011SAQN";1;"SW_Push_SPDT";;;
8;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
9;"SW1";"SW_DIP_SPSTx03_Slide_6.7x9.18mm_W8.61mm_P2.54mm_LowProfile";1;"DIP X3";;;
10;"J11";"PinSocket_1x03_P2.54mm_Vertical";1;"C_MASTER";;;
11;"BATERIA";"TerminalBlock_bornier-2_P5.08mm";1;"Screw_Terminal_01x02";;;
12;"J10";"PinSocket_1x03_P2.54mm_Vertical";1;"PWM";;;
13;"MOTOR 2";"TerminalBlock_bornier-2_P5.08mm";1;"MOTOR 2";;;
14;"SF1";"PinSocket_1x03_P2.54mm_Vertical";1;"SENSOR SHARP 01";;;
15;"TIP2955";"TO-218-3_Vertical";1;"TIP2955";;;
16;"SN1";"PinSocket_1x03_P2.54mm_Vertical";1;"QTR 1A";;;
17;"J2";"TerminalBlock_bornier-2_P5.08mm";1;"MOTOR 1";;;
18;"SF2";"PinSocket_1x03_P2.54mm_Vertical";1;"SENSOR SHARP 02";;;
19;"SL1";"PinSocket_1x03_P2.54mm_Vertical";1;"SENSOR SHARP 03";;;
20;"SN2";"PinSocket_1x03_P2.54mm_Vertical";1;"QTR 1A_2";;;
21;"SL2";"PinSocket_1x03_P2.54mm_Vertical";1;"SENSOR SHARP 04";;;
